,Gene1,Gene2,Type
292,Gata1,Gata1,+
293,Gata2,Gata1,+
294,Fli1,Gata1,+
295,Pu1,Gata1,-
296,Cebpa,Cebpa,+
297,Scl,Cebpa,-
298,Fog1,Cebpa,-
299,Gata1,Cebpa,-
300,Gata1,Fli1,+
301,Eklf,Fli1,-
302,Gata1,Eklf,+
303,Fli1,Eklf,-
304,Cebpa,Gfi1,+
305,EgrNab,Gfi1,-
306,Gata1,Fog1,+
307,Gata1,Gata1,+
308,Gata2,Gata1,+
309,Fli1,Gata1,+
310,Pu1,Gata1,-
311,Gata2,Gata2,+
312,Pu1,Gata2,-
313,Gata1,Gata2,-
314,Fog1,Gata2,-
315,Cebpa,Cebpa,+
316,Scl,Cebpa,-
317,Fog1,Cebpa,-
318,Gata1,Cebpa,-
319,Gata1,Scl,+
320,Pu1,Scl,-
321,Cebpa,Pu1,+
322,Pu1,Pu1,+
323,Gata1,Pu1,-
324,Gata2,Pu1,-
325,Pu1,EgrNab,+
326,cJun,EgrNab,+
327,Gfi1,EgrNab,-
328,Pu1,cJun,+
329,Gfi1,cJun,-
330,Gata1,Fli1,+
331,Eklf,Fli1,-
332,Gata1,Eklf,+
333,Fli1,Eklf,-
334,Cebpa,Gfi1,+
335,EgrNab,Gfi1,-
336,Gata1,Fog1,+
337,Gata1,Gata1,+
338,Gata2,Gata1,+
339,Fli1,Gata1,+
340,Pu1,Gata1,-
341,Gata2,Gata2,+
342,Pu1,Gata2,-
343,Gata1,Gata2,-
344,Fog1,Gata2,-
345,Cebpa,Cebpa,+
346,Scl,Cebpa,-
347,Fog1,Cebpa,-
348,Gata1,Cebpa,-
349,Gata1,Scl,+
350,Pu1,Scl,-
351,Cebpa,Pu1,+
352,Pu1,Pu1,+
353,Gata1,Pu1,-
354,Gata2,Pu1,-
355,Pu1,EgrNab,+
356,cJun,EgrNab,+
357,Gfi1,EgrNab,-
358,Pu1,cJun,+
359,Gfi1,cJun,-
360,Gata1,Eklf,+
361,Fli1,Eklf,-
362,Cebpa,Pu1,+
363,Pu1,Pu1,+
364,Gata1,Pu1,-
365,Gata2,Pu1,-
366,Pu1,EgrNab,+
367,cJun,EgrNab,+
368,Gfi1,EgrNab,-
369,Cebpa,Gfi1,+
370,EgrNab,Gfi1,-
371,Gata1,Fog1,+
372,Gata2,Gata2,+
373,Pu1,Gata2,-
374,Gata1,Gata2,-
375,Fog1,Gata2,-
376,Gata1,Fli1,+
377,Eklf,Fli1,-
378,Gata1,Scl,+
379,Pu1,Scl,-
380,Pu1,cJun,+
381,Gfi1,cJun,-
382,Gata1,Gata1,+
383,Gata2,Gata1,+
384,Fli1,Gata1,+
385,Pu1,Gata1,-
386,Cebpa,Cebpa,+
387,Scl,Cebpa,-
388,Fog1,Cebpa,-
389,Gata1,Cebpa,-
390,Cebpa,Cebpa,+
391,Scl,Cebpa,-
392,Fog1,Cebpa,-
393,Gata1,Cebpa,-
394,Gata1,Gata1,+
395,Gata2,Gata1,+
396,Fli1,Gata1,+
397,Pu1,Gata1,-
398,Gata1,Scl,+
399,Pu1,Scl,-
400,Pu1,cJun,+
401,Gfi1,cJun,-
402,Gata1,Fli1,+
403,Eklf,Fli1,-
404,Cebpa,Pu1,+
405,Pu1,Pu1,+
406,Gata1,Pu1,-
407,Gata2,Pu1,-
408,Gata2,Gata2,+
409,Pu1,Gata2,-
410,Gata1,Gata2,-
411,Fog1,Gata2,-
412,Cebpa,Gfi1,+
413,EgrNab,Gfi1,-
414,Pu1,EgrNab,+
415,cJun,EgrNab,+
416,Gfi1,EgrNab,-
417,Gata1,Eklf,+
418,Fli1,Eklf,-
419,Gata1,Fog1,+
420,Cebpa,Cebpa,+
421,Scl,Cebpa,-
422,Fog1,Cebpa,-
423,Gata1,Cebpa,-
424,Gata1,Gata1,+
425,Gata2,Gata1,+
426,Fli1,Gata1,+
427,Pu1,Gata1,-
428,Gata1,Scl,+
429,Pu1,Scl,-
430,Pu1,cJun,+
431,Gfi1,cJun,-
432,Gata1,Fli1,+
433,Eklf,Fli1,-
434,Cebpa,Pu1,+
435,Pu1,Pu1,+
436,Gata1,Pu1,-
437,Gata2,Pu1,-
438,Gata2,Gata2,+
439,Pu1,Gata2,-
440,Gata1,Gata2,-
441,Fog1,Gata2,-
442,Cebpa,Gfi1,+
443,EgrNab,Gfi1,-
444,Pu1,EgrNab,+
445,cJun,EgrNab,+
446,Gfi1,EgrNab,-
447,Gata1,Eklf,+
448,Fli1,Eklf,-
449,Gata1,Fog1,+
450,Gata1,Eklf,+
451,Fli1,Eklf,-
452,Cebpa,Pu1,+
453,Pu1,Pu1,+
454,Gata1,Pu1,-
455,Gata2,Pu1,-
456,Pu1,EgrNab,+
457,cJun,EgrNab,+
458,Gfi1,EgrNab,-
459,Cebpa,Gfi1,+
460,EgrNab,Gfi1,-
461,Gata1,Fog1,+
462,Gata2,Gata2,+
463,Pu1,Gata2,-
464,Gata1,Gata2,-
465,Fog1,Gata2,-
466,Gata1,Fli1,+
467,Eklf,Fli1,-
468,Gata1,Scl,+
469,Pu1,Scl,-
470,Pu1,cJun,+
471,Gfi1,cJun,-
472,Gata1,Gata1,+
473,Gata2,Gata1,+
474,Fli1,Gata1,+
475,Pu1,Gata1,-
476,Cebpa,Cebpa,+
477,Scl,Cebpa,-
478,Fog1,Cebpa,-
479,Gata1,Cebpa,-
480,Cebpa,Gfi1,+
481,EgrNab,Gfi1,-
482,Gata1,Fog1,+
483,Cebpa,Cebpa,+
484,Scl,Cebpa,-
485,Fog1,Cebpa,-
486,Gata1,Cebpa,-
487,Pu1,cJun,+
488,Gfi1,cJun,-
489,Gata1,Gata1,+
490,Gata2,Gata1,+
491,Fli1,Gata1,+
492,Pu1,Gata1,-
493,Pu1,EgrNab,+
494,cJun,EgrNab,+
495,Gfi1,EgrNab,-
496,Gata1,Eklf,+
497,Fli1,Eklf,-
498,Gata1,Scl,+
499,Pu1,Scl,-
500,Cebpa,Pu1,+
501,Pu1,Pu1,+
502,Gata1,Pu1,-
503,Gata2,Pu1,-
504,Gata1,Fli1,+
505,Eklf,Fli1,-
506,Gata2,Gata2,+
507,Pu1,Gata2,-
508,Gata1,Gata2,-
509,Fog1,Gata2,-
510,Cebpa,Gfi1,+
511,EgrNab,Gfi1,-
512,Gata1,Fog1,+
513,Cebpa,Cebpa,+
514,Scl,Cebpa,-
515,Fog1,Cebpa,-
516,Gata1,Cebpa,-
517,Pu1,cJun,+
518,Gfi1,cJun,-
519,Gata1,Gata1,+
520,Gata2,Gata1,+
521,Fli1,Gata1,+
522,Pu1,Gata1,-
523,Pu1,EgrNab,+
524,cJun,EgrNab,+
525,Gfi1,EgrNab,-
526,Gata1,Eklf,+
527,Fli1,Eklf,-
528,Gata1,Scl,+
529,Pu1,Scl,-
530,Cebpa,Pu1,+
531,Pu1,Pu1,+
532,Gata1,Pu1,-
533,Gata2,Pu1,-
534,Gata1,Fli1,+
535,Eklf,Fli1,-
536,Gata2,Gata2,+
537,Pu1,Gata2,-
538,Gata1,Gata2,-
539,Fog1,Gata2,-
540,Gata1,Eklf,+
541,Fli1,Eklf,-
542,Cebpa,Pu1,+
543,Pu1,Pu1,+
544,Gata1,Pu1,-
545,Gata2,Pu1,-
546,Pu1,EgrNab,+
547,cJun,EgrNab,+
548,Gfi1,EgrNab,-
549,Cebpa,Gfi1,+
550,EgrNab,Gfi1,-
551,Gata1,Fog1,+
552,Gata2,Gata2,+
553,Pu1,Gata2,-
554,Gata1,Gata2,-
555,Fog1,Gata2,-
556,Gata1,Fli1,+
557,Eklf,Fli1,-
558,Gata1,Scl,+
559,Pu1,Scl,-
560,Pu1,cJun,+
561,Gfi1,cJun,-
562,Gata1,Gata1,+
563,Gata2,Gata1,+
564,Fli1,Gata1,+
565,Pu1,Gata1,-
566,Cebpa,Cebpa,+
567,Scl,Cebpa,-
568,Fog1,Cebpa,-
569,Gata1,Cebpa,-
570,Gata1,Eklf,+
571,Fli1,Eklf,-
572,Pu1,EgrNab,+
573,cJun,EgrNab,+
574,Gfi1,EgrNab,-
575,Cebpa,Pu1,+
576,Pu1,Pu1,+
577,Gata1,Pu1,-
578,Gata2,Pu1,-
579,Pu1,cJun,+
580,Gfi1,cJun,-
581,Gata1,Gata1,+
582,Gata2,Gata1,+
583,Fli1,Gata1,+
584,Pu1,Gata1,-
585,Cebpa,Cebpa,+
586,Scl,Cebpa,-
587,Fog1,Cebpa,-
588,Gata1,Cebpa,-
589,Cebpa,Gfi1,+
590,EgrNab,Gfi1,-
591,Gata1,Scl,+
592,Pu1,Scl,-
593,Gata1,Fog1,+
594,Gata2,Gata2,+
595,Pu1,Gata2,-
596,Gata1,Gata2,-
597,Fog1,Gata2,-
598,Gata1,Fli1,+
599,Eklf,Fli1,-
600,Gata1,Eklf,+
601,Fli1,Eklf,-
602,Pu1,EgrNab,+
603,cJun,EgrNab,+
604,Gfi1,EgrNab,-
605,Cebpa,Pu1,+
606,Pu1,Pu1,+
607,Gata1,Pu1,-
608,Gata2,Pu1,-
609,Pu1,cJun,+
610,Gfi1,cJun,-
611,Gata1,Gata1,+
612,Gata2,Gata1,+
613,Fli1,Gata1,+
614,Pu1,Gata1,-
615,Cebpa,Cebpa,+
616,Scl,Cebpa,-
617,Fog1,Cebpa,-
618,Gata1,Cebpa,-
619,Cebpa,Gfi1,+
620,EgrNab,Gfi1,-
621,Gata1,Scl,+
622,Pu1,Scl,-
623,Gata1,Fog1,+
624,Gata2,Gata2,+
625,Pu1,Gata2,-
626,Gata1,Gata2,-
627,Fog1,Gata2,-
628,Gata1,Fli1,+
629,Eklf,Fli1,-
630,Gata1,Eklf,+
631,Fli1,Eklf,-
632,Cebpa,Pu1,+
633,Pu1,Pu1,+
634,Gata1,Pu1,-
635,Gata2,Pu1,-
636,Pu1,EgrNab,+
637,cJun,EgrNab,+
638,Gfi1,EgrNab,-
639,Cebpa,Gfi1,+
640,EgrNab,Gfi1,-
641,Gata1,Fog1,+
642,Gata2,Gata2,+
643,Pu1,Gata2,-
644,Gata1,Gata2,-
645,Fog1,Gata2,-
646,Gata1,Fli1,+
647,Eklf,Fli1,-
648,Gata1,Scl,+
649,Pu1,Scl,-
650,Pu1,cJun,+
651,Gfi1,cJun,-
652,Gata1,Gata1,+
653,Gata2,Gata1,+
654,Fli1,Gata1,+
655,Pu1,Gata1,-
656,Cebpa,Cebpa,+
657,Scl,Cebpa,-
658,Fog1,Cebpa,-
659,Gata1,Cebpa,-
660,Gata1,Fog1,+
661,Gata1,Fli1,+
662,Eklf,Fli1,-
663,Gata1,Eklf,+
664,Fli1,Eklf,-
665,Pu1,cJun,+
666,Gfi1,cJun,-
667,Cebpa,Pu1,+
668,Pu1,Pu1,+
669,Gata1,Pu1,-
670,Gata2,Pu1,-
671,Gata1,Gata1,+
672,Gata2,Gata1,+
673,Fli1,Gata1,+
674,Pu1,Gata1,-
675,Gata1,Scl,+
676,Pu1,Scl,-
677,Pu1,EgrNab,+
678,cJun,EgrNab,+
679,Gfi1,EgrNab,-
680,Gata2,Gata2,+
681,Pu1,Gata2,-
682,Gata1,Gata2,-
683,Fog1,Gata2,-
684,Cebpa,Gfi1,+
685,EgrNab,Gfi1,-
686,Cebpa,Cebpa,+
687,Scl,Cebpa,-
688,Fog1,Cebpa,-
689,Gata1,Cebpa,-
690,Gata1,Fog1,+
691,Gata1,Fli1,+
692,Eklf,Fli1,-
693,Gata1,Eklf,+
694,Fli1,Eklf,-
695,Pu1,cJun,+
696,Gfi1,cJun,-
697,Cebpa,Pu1,+
698,Pu1,Pu1,+
699,Gata1,Pu1,-
700,Gata2,Pu1,-
701,Gata1,Gata1,+
702,Gata2,Gata1,+
703,Fli1,Gata1,+
704,Pu1,Gata1,-
705,Gata1,Scl,+
706,Pu1,Scl,-
707,Pu1,EgrNab,+
708,cJun,EgrNab,+
709,Gfi1,EgrNab,-
710,Gata2,Gata2,+
711,Pu1,Gata2,-
712,Gata1,Gata2,-
713,Fog1,Gata2,-
714,Cebpa,Gfi1,+
715,EgrNab,Gfi1,-
716,Cebpa,Cebpa,+
717,Scl,Cebpa,-
718,Fog1,Cebpa,-
719,Gata1,Cebpa,-
720,Gata1,Eklf,+
721,Fli1,Eklf,-
722,Cebpa,Pu1,+
723,Pu1,Pu1,+
724,Gata1,Pu1,-
725,Gata2,Pu1,-
726,Pu1,EgrNab,+
727,cJun,EgrNab,+
728,Gfi1,EgrNab,-
729,Cebpa,Gfi1,+
730,EgrNab,Gfi1,-
731,Gata1,Fog1,+
732,Gata2,Gata2,+
733,Pu1,Gata2,-
734,Gata1,Gata2,-
735,Fog1,Gata2,-
736,Gata1,Fli1,+
737,Eklf,Fli1,-
738,Gata1,Scl,+
739,Pu1,Scl,-
740,Pu1,cJun,+
741,Gfi1,cJun,-
742,Gata1,Gata1,+
743,Gata2,Gata1,+
744,Fli1,Gata1,+
745,Pu1,Gata1,-
746,Cebpa,Cebpa,+
747,Scl,Cebpa,-
748,Fog1,Cebpa,-
749,Gata1,Cebpa,-
750,Pu1,cJun,+
751,Gfi1,cJun,-
752,Gata1,Gata1,+
753,Gata2,Gata1,+
754,Fli1,Gata1,+
755,Pu1,Gata1,-
756,Cebpa,Pu1,+
757,Pu1,Pu1,+
758,Gata1,Pu1,-
759,Gata2,Pu1,-
760,Pu1,EgrNab,+
761,cJun,EgrNab,+
762,Gfi1,EgrNab,-
763,Gata2,Gata2,+
764,Pu1,Gata2,-
765,Gata1,Gata2,-
766,Fog1,Gata2,-
767,Gata1,Fog1,+
768,Cebpa,Cebpa,+
769,Scl,Cebpa,-
770,Fog1,Cebpa,-
771,Gata1,Cebpa,-
772,Cebpa,Gfi1,+
773,EgrNab,Gfi1,-
774,Gata1,Eklf,+
775,Fli1,Eklf,-
776,Gata1,Fli1,+
777,Eklf,Fli1,-
778,Gata1,Scl,+
779,Pu1,Scl,-
780,Pu1,cJun,+
781,Gfi1,cJun,-
782,Gata1,Gata1,+
783,Gata2,Gata1,+
784,Fli1,Gata1,+
785,Pu1,Gata1,-
786,Cebpa,Pu1,+
787,Pu1,Pu1,+
788,Gata1,Pu1,-
789,Gata2,Pu1,-
790,Pu1,EgrNab,+
791,cJun,EgrNab,+
792,Gfi1,EgrNab,-
793,Gata2,Gata2,+
794,Pu1,Gata2,-
795,Gata1,Gata2,-
796,Fog1,Gata2,-
797,Gata1,Fog1,+
798,Cebpa,Cebpa,+
799,Scl,Cebpa,-
800,Fog1,Cebpa,-
801,Gata1,Cebpa,-
802,Cebpa,Gfi1,+
803,EgrNab,Gfi1,-
804,Gata1,Eklf,+
805,Fli1,Eklf,-
806,Gata1,Fli1,+
807,Eklf,Fli1,-
808,Gata1,Scl,+
809,Pu1,Scl,-
810,Gata1,Eklf,+
811,Fli1,Eklf,-
812,Cebpa,Pu1,+
813,Pu1,Pu1,+
814,Gata1,Pu1,-
815,Gata2,Pu1,-
816,Pu1,EgrNab,+
817,cJun,EgrNab,+
818,Gfi1,EgrNab,-
819,Cebpa,Gfi1,+
820,EgrNab,Gfi1,-
821,Gata1,Fog1,+
822,Gata2,Gata2,+
823,Pu1,Gata2,-
824,Gata1,Gata2,-
825,Fog1,Gata2,-
826,Gata1,Fli1,+
827,Eklf,Fli1,-
828,Gata1,Scl,+
829,Pu1,Scl,-
830,Pu1,cJun,+
831,Gfi1,cJun,-
832,Gata1,Gata1,+
833,Gata2,Gata1,+
834,Fli1,Gata1,+
835,Pu1,Gata1,-
836,Cebpa,Cebpa,+
837,Scl,Cebpa,-
838,Fog1,Cebpa,-
839,Gata1,Cebpa,-
840,Pu1,EgrNab,+
841,cJun,EgrNab,+
842,Gfi1,EgrNab,-
843,Cebpa,Pu1,+
844,Pu1,Pu1,+
845,Gata1,Pu1,-
846,Gata2,Pu1,-
847,Gata1,Fog1,+
848,Gata1,Fli1,+
849,Eklf,Fli1,-
850,Gata1,Eklf,+
851,Fli1,Eklf,-
852,Cebpa,Gfi1,+
853,EgrNab,Gfi1,-
854,Cebpa,Cebpa,+
855,Scl,Cebpa,-
856,Fog1,Cebpa,-
857,Gata1,Cebpa,-
858,Gata1,Scl,+
859,Pu1,Scl,-
860,Gata1,Gata1,+
861,Gata2,Gata1,+
862,Fli1,Gata1,+
863,Pu1,Gata1,-
864,Pu1,cJun,+
865,Gfi1,cJun,-
866,Gata2,Gata2,+
867,Pu1,Gata2,-
868,Gata1,Gata2,-
869,Fog1,Gata2,-
870,Pu1,EgrNab,+
871,cJun,EgrNab,+
872,Gfi1,EgrNab,-
873,Cebpa,Pu1,+
874,Pu1,Pu1,+
875,Gata1,Pu1,-
876,Gata2,Pu1,-
877,Gata1,Fog1,+
878,Gata1,Fli1,+
879,Eklf,Fli1,-
880,Gata1,Eklf,+
881,Fli1,Eklf,-
882,Cebpa,Gfi1,+
883,EgrNab,Gfi1,-
884,Cebpa,Cebpa,+
885,Scl,Cebpa,-
886,Fog1,Cebpa,-
887,Gata1,Cebpa,-
888,Gata1,Scl,+
889,Pu1,Scl,-
890,Gata1,Gata1,+
891,Gata2,Gata1,+
892,Fli1,Gata1,+
893,Pu1,Gata1,-
894,Pu1,cJun,+
895,Gfi1,cJun,-
896,Gata2,Gata2,+
897,Pu1,Gata2,-
898,Gata1,Gata2,-
899,Fog1,Gata2,-
